hy	hij
avonts	avonds
aengesichts	aangezichts
woorde	woord
wete	wete
welckes	welks
vrymoedicheyt	vrijmoedigheid
vraechde	vroeg
voorhuyt	voorhuid
visch	vis
vertreck	vertrek
verstonden	verstonden
versterckt	versterkt
verspieders	verspieders
versoecken	verzoeken
verontreynicht	verontreinigd
verdelgt	verdelgd
verdeelinge	verdeling
verborgentheyt	verborgenheid
vaderlicke	vaderlijke
uyttrocken	uittrokken
tvolck	volk
thamar	thamar
tale	taal
sondaren	zondaren
sond-offers	zondoffers
sinnen	zinnen
simeons	simeon
sestien	zestien
segene	zegene
rechter-[handt	rechter_hand
raeckte	raakte
psalm-singen	psalmzingen
paleys	paleis
overich	overig
opgetogen	opgetogen
ontsettinge	ontzetting
ongehoorsaem	ongehoorzaam
neffens	nevens
naedert	nadert
maaseja	maaseja
luyder	luider
lieflicken	aangename
leerende	lerende
lantschap	landschap
kindt	kind
keyser	keizer
iubel-jaer	jubeljaar
isaacs	izak
